     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          18360.0000    18360.0000        0.0000
         0.1000                  0.0047            1029.0          18367.6662    18369.1800       -1.5138
         0.2000                  0.0097             899.1          16251.2997    16284.4020      -33.1023
         0.3000                  0.0150             790.5          14542.4143    14542.3440        0.0703
         0.4000                  0.0206             687.5          12852.4904    12889.6380      -37.1476
         0.5000                  0.0267             553.6          10676.5473    10741.2120      -64.6647
         0.6036                  0.0332             528.7          10271.0010    10340.6580      -69.6570
         0.6500                  0.0362             521.6          10176.9843    10227.4380      -50.4537
         0.7508                  0.0428             481.3           9539.2821     9580.5540      -41.2719
         0.8000                  0.0460             485.6           9605.2280     9650.3220      -45.0940
         0.8978                  0.0527             441.5           8893.3788     8941.9320      -48.5532
         0.9956                  0.0593             440.8           8760.0915     8931.2220     -171.1305
         1.0000                  0.0596             442.6           8830.5691     8960.2920     -129.7229
         1.0951                  0.0664             397.6           8018.1342     8236.9080     -218.7738
         1.1900                  0.0731             365.7           7504.2457     7725.2760     -221.0303
         1.2500                  0.0774             385.5           7800.5631     8043.2100     -242.6469
         1.3412                  0.0842             331.4           6667.2104     7174.7820     -507.5716
         1.4326                  0.0911             334.8           6679.5589     7229.2500     -549.6911
         1.5239                  0.0980             316.0           6452.6533     6928.4520     -475.7987
         1.6153                  0.1049             317.7           6513.4007     6955.6860     -442.2853
         1.7066                  0.1117             320.9           6652.3373     7006.7880     -354.4507
         1.7979                  0.1186             322.6           6655.7615     7034.0220     -378.2605
         1.8891                  0.1255             326.5           6694.5386     7096.1400     -401.6014
         1.9804                  0.1323             336.3           6783.3846     7253.7300     -470.3454
         2.0716                  0.1392             330.3           6769.8272     7158.2580     -388.4308
         2.1629                  0.1461             328.9           6509.5234     7135.3080     -625.7846
         2.2500                  0.1527             325.1           6471.2980     7074.4140     -603.1160
         2.3413                  0.1595             334.4           6809.2082     7223.1300     -413.9218
         2.4327                  0.1664             334.0           6777.7540     7217.6220     -439.8680
