     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          11232.0000    11232.0000        0.0000
         0.0920                  0.0061            1037.1          11295.7552    11316.8016      -21.0464
         0.1000                  0.0066            1021.6          11158.8563    11164.9824       -6.1261
         0.1884                  0.0128             938.9          10337.9966    10353.4704      -15.4738
         0.2000                  0.0136             866.0           9630.0964     9637.0560       -6.9596
         0.2847                  0.0198             835.0           9314.0783     9332.6688      -18.5905
         0.3000                  0.0210             808.2           9045.9717     9070.2144      -24.2427
         0.3803                  0.0273             678.6           7787.8958     7798.1904      -10.2946
         0.4000                  0.0289             682.2           7798.2138     7833.5712      -35.3574
         0.4758                  0.0354             563.2           6626.9241     6665.2560      -38.3319
         0.5000                  0.0374             556.8           6563.9368     6602.5440      -38.6072
         0.5740                  0.0439             562.0           6537.4120     6653.4624     -116.0504
         0.6481                  0.0505             510.2           6076.9773     6145.0272      -68.0499
         0.6500                  0.0506             543.3           6443.1984     6469.8192      -26.6208
         0.7219                  0.0572             488.5           5825.7197     5932.1808     -106.4611
         0.7938                  0.0638             487.0           5870.6679     5916.6432      -45.9753
         0.8000                  0.0644             487.8           5829.7504     5924.8800      -95.1296
         0.8700                  0.0711             452.7           5540.7431     5580.8064      -40.0633
         0.9400                  0.0777             428.8           5264.3295     5345.4960      -81.1665
         1.0000                  0.0835             447.7           5463.5472     5531.7600      -68.2128
         1.0678                  0.0902             393.1           4840.1533     4995.2448     -155.0915
         1.1356                  0.0970             377.7           4610.7922     4844.3616     -233.5694
         1.2034                  0.1037             389.7           4830.7366     4961.5488     -130.8122
         1.2500                  0.1084             389.4           4719.4319     4958.7408     -239.3089
         1.3142                  0.1153             312.0           3745.5383     4199.6448     -454.1065
         1.3783                  0.1222             306.2           3645.1653     4142.7360     -497.5707
         1.4427                  0.1291             309.9           3666.2319     4179.0528     -512.8209
         1.5070                  0.1360             323.1           3481.2116     4308.2208     -827.0092
         1.5713                  0.1430             316.1           3127.8508     4239.1440    -1111.2932
         1.6357                  0.1499             310.3           2679.5923     4182.9840    -1503.3917
         1.7001                  0.1568             307.1           2731.8743     4150.9728    -1419.0985
         1.7646                  0.1637             313.6           2583.8916     4215.3696    -1631.4780
         1.8291                  0.1706             310.5           2630.3188     4184.6688    -1554.3500
         1.8937                  0.1776             329.9           2601.2932     4374.6768    -1773.3836
         1.9583                  0.1845             304.6           2559.6863     4127.0112    -1567.3249
         2.0227                  0.1914             323.3           2687.2186     4309.7184    -1622.4998
         2.0872                  0.1983             313.5           2597.6481     4214.2464    -1616.5983
         2.1518                  0.2052             309.9           2622.2070     4178.4912    -1556.2842
         2.2163                  0.2122             314.7           2800.1469     4225.4784    -1425.3315
         2.2500                  0.2158             306.0           2407.5348     4140.1152    -1732.5804
         2.3146                  0.2227             305.2           2436.3018     4132.0656    -1695.7638
         2.3793                  0.2296             299.8           2372.3280     4079.8368    -1707.5088
         2.4440                  0.2366             311.0           2358.2852     4188.9744    -1830.6892
         2.5088                  0.2435             299.5           1990.2254     4076.8416    -2086.6162
         2.5735                  0.2504             316.6           2068.8875     4244.7600    -2175.8725
         2.6380                  0.2573             310.3           2029.6556     4182.7968    -2153.1412
         2.7028                  0.2642             293.5           1981.4588     4017.6864    -2036.2276
         2.7675                  0.2712             310.3           1997.1709     4182.2352    -2185.0643
         2.8323                  0.2781             305.3           1964.1861     4133.7504    -2169.5643
         2.8972                  0.2850             311.8           1848.5249     4197.7728    -2349.2479
         2.9622                  0.2919             311.1           1909.8582     4190.2848    -2280.4266
         3.0270                  0.2988             312.2           2137.7549     4200.7680    -2063.0131
         3.0919                  0.3058             304.7           1919.8854     4127.3856    -2207.5002
         3.1568                  0.3127             316.0           1907.7286     4238.2080    -2330.4794
         3.2216                  0.3196             305.2           1781.8777     4132.2528    -2350.3751
         3.2500                  0.3226             312.5           1996.4995     4204.1376    -2207.6381
         3.3148                  0.3296             301.5           1534.2825     4096.4976    -2562.2151
         3.3797                  0.3365             305.5           1637.9213     4135.6224    -2497.7011
         3.4446                  0.3434             321.0           1744.8588     4287.6288    -2542.7700
         3.5096                  0.3503             298.7           1588.3705     4068.4176    -2480.0471
         3.5745                  0.3572             306.0           1675.7366     4140.6768    -2464.9402
         3.6395                  0.3642             316.2           1778.0211     4240.6416    -2462.6205
         3.7043                  0.3711             309.6           1708.2423     4175.4960    -2467.2537
         3.7691                  0.3780             309.9           1301.3714     4179.0528    -2877.6814
         3.8338                  0.3849             306.9           1526.7052     4148.7264    -2622.0212
         3.8985                  0.3918             302.3           1376.8170     4104.3600    -2727.5430
         3.9632                  0.3988             320.8           1737.8689     4285.5696    -2547.7007
         4.0279                  0.4057             302.5           1379.7252     4106.4192    -2726.6940
         4.0924                  0.4126             307.1           1366.0202     4150.9728    -2784.9526
         4.1570                  0.4195             302.8           1496.2042     4108.8528    -2612.6486
         4.2218                  0.4264             303.4           1631.4160     4114.6560    -2483.2400
         4.2500                  0.4294             291.2           1410.9709     3995.2224    -2584.2515
         4.3147                  0.4364             303.3           1188.2280     4113.7200    -2925.4920
         4.3794                  0.4433             320.7           1551.1446     4284.8208    -2733.6762
         4.4441                  0.4502             308.1           1357.6848     4161.0816    -2803.3968
         4.5088                  0.4571             313.9           1636.3332     4218.1776    -2581.8444
         4.5734                  0.4640             300.7           1270.6730     4088.4480    -2817.7750
         4.6380                  0.4710             316.9           1446.0229     4247.1936    -2801.1707
         4.7029                  0.4779             307.1           1554.6204     4151.1600    -2596.5396
         4.7678                  0.4848             328.3           1841.4593     4359.7008    -2518.2415
         4.8325                  0.4917             311.7           1443.6704     4195.9008    -2752.2304
         4.8972                  0.4986             310.5           1381.6051     4184.2944    -2802.6893
