     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          11232.1800    11232.0000        0.1800
         0.0944                  0.0061            1045.8          11391.3336    11402.5392      -11.2056
         0.1000                  0.0065             993.4          10888.5250    10887.5520        0.9730
         0.1905                  0.0126             969.1          10637.6930    10649.2464      -11.5534
         0.2000                  0.0133             893.4           9906.7255     9906.2496        0.4759
         0.2867                  0.0195             853.1           9499.6471     9511.0704      -11.4233
         0.3000                  0.0205             778.6           8736.7975     8779.4928      -42.6953
         0.3823                  0.0268             653.1           7531.2402     7547.1552      -15.9150
         0.4000                  0.0282             680.7           7782.7524     7818.5952      -35.8428
         0.4778                  0.0347             565.7           6666.5351     6689.7792      -23.2441
         0.5000                  0.0365             546.1           6485.9762     6496.7760      -10.7998
         0.5757                  0.0430             521.5           6190.8479     6256.2240      -65.3761
         0.6500                  0.0494             519.1           6197.1727     6232.0752      -34.9025
         0.7238                  0.0560             452.3           5470.3903     5576.6880     -106.2977
         0.7975                  0.0626             489.7           5888.4409     5943.2256      -54.7847
         0.8000                  0.0629             500.6           6036.0701     6050.1168      -14.0467
         0.8716                  0.0695             430.3           5290.0090     5360.8464      -70.8374
         0.9432                  0.0762             405.0           5011.2147     5112.4320     -101.2173
         1.0000                  0.0815             438.2           5360.6537     5438.3472      -77.6935
         1.0694                  0.0882             372.4           4630.2408     4792.1328     -161.8920
         1.1389                  0.0950             393.9           4834.2193     5003.1072     -168.8879
         1.2084                  0.1017             363.5           4540.5588     4704.7104     -164.1516
         1.2500                  0.1058             394.1           4756.9547     5005.1664     -248.2117
         1.3158                  0.1127             318.4           3706.8075     4262.3568     -555.5493
         1.3815                  0.1196             312.6           3774.4508     4205.6352     -431.1844
         1.4473                  0.1265             317.7           3551.9950     4255.2432     -703.2482
         1.5131                  0.1334             309.3           3509.3317     4172.8752     -663.5435
         1.5790                  0.1404             305.1           3344.8705     4131.5040     -786.6335
