     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          11232.0000    11232.0000        0.0000
         0.0927                  0.0061            1015.5          11105.7189    11105.2656        0.4533
         0.1000                  0.0066            1061.3          11554.8326    11554.5456        0.2870
         0.1890                  0.0127             906.6          10036.4080    10035.9792        0.4288
         0.2000                  0.0135             896.5           9935.0655     9936.7632       -1.6977
         0.2849                  0.0197             805.0           9019.0042     9038.5776      -19.5734
         0.3000                  0.0208             790.9           8897.5426     8900.4240       -2.8814
         0.3809                  0.0272             660.4           7609.4080     7619.0400       -9.6320
         0.4000                  0.0287             700.8           8004.0487     8015.9040      -11.8553
         0.4765                  0.0352             597.8           7003.8219     7005.2112       -1.3893
         0.5000                  0.0372             581.4           6818.2641     6844.0320      -25.7679
         0.5742                  0.0437             496.8           5978.0610     6013.6128      -35.5518
         0.6486                  0.0502             527.2           6280.9674     6311.4480      -30.4806
         0.6500                  0.0503             519.3           6180.3563     6234.5088      -54.1525
         0.7224                  0.0569             477.8           5786.7950     5827.1616      -40.3666
         0.7949                  0.0635             478.4           5701.5721     5832.4032     -130.8311
         0.8000                  0.0640             498.1           5950.2436     6026.3424      -76.0988
         0.8704                  0.0707             427.9           5265.7097     5336.8848      -71.1751
         0.9409                  0.0773             450.4           5382.2025     5557.4064     -175.2039
         1.0000                  0.0829             428.2           5215.2232     5339.5056     -124.2824
         1.0683                  0.0897             402.3           4911.5510     5086.0368     -174.4858
         1.1364                  0.0964             377.4           4677.7109     4841.1792     -163.4683
         1.2047                  0.1032             401.0           4872.5989     5072.5584     -199.9595
         1.2500                  0.1077             392.4           4852.7803     4988.8800     -136.0997
         1.3147                  0.1146             304.2           3587.9527     4123.0800     -535.1273
         1.3795                  0.1215             309.5           3620.9589     4174.3728     -553.4139
         1.4442                  0.1284             303.8           3484.9645     4119.1488     -634.1843
         1.5089                  0.1353             315.2           3424.9332     4231.0944     -806.1612
         1.5738                  0.1423             316.1           3307.4673     4239.1440     -931.6767
         1.6387                  0.1492             294.1           3289.2954     4023.3024     -734.0070
         1.7037                  0.1561             330.5           3454.5798     4380.6672     -926.0874
         1.7685                  0.1630             319.4           3384.7622     4272.2784     -887.5162
         1.8332                  0.1699             309.8           3242.6368     4177.9296     -935.2928
         1.8980                  0.1769             332.3           3455.8246     4398.6384     -942.8138
         1.9628                  0.1838             307.8           3225.6761     4158.2736     -932.5975
         2.0276                  0.1907             296.4           2988.6607     4045.7664    -1057.1057
         2.0924                  0.1976             315.1           3207.6212     4229.5968    -1021.9756
         2.1573                  0.2045             304.7           3100.0416     4127.3856    -1027.3440
         2.2223                  0.2115             310.4           3005.4002     4183.7328    -1178.3326
         2.2500                  0.2144             296.3           2805.0092     4045.5792    -1240.5700
         2.3149                  0.2213             308.6           2866.1285     4166.1360    -1300.0075
         2.3799                  0.2282             328.6           2862.5491     4362.5088    -1499.9597
         2.4448                  0.2352             286.1           2423.6639     3945.4272    -1521.7633
         2.5097                  0.2421             293.9           2288.4299     4021.2432    -1732.8133
         2.5747                  0.2490             317.2           2819.8587     4250.3760    -1430.5173
         2.6397                  0.2559             327.6           3057.4290     4352.5872    -1295.1582
         2.7044                  0.2628             304.7           2794.0631     4127.1984    -1333.1353
         2.7692                  0.2698             286.9           2586.5444     3953.2896    -1366.7452
         2.8342                  0.2767             329.3           2918.3047     4369.0608    -1450.7561
         2.8992                  0.2836             301.1           2593.5805     4092.5664    -1498.9859
         2.9640                  0.2905             318.3           2713.5928     4261.0464    -1547.4536
         3.0288                  0.2974             320.4           2676.4035     4281.2640    -1604.8605
         3.0938                  0.3044             315.2           2764.2850     4230.5328    -1466.2478
         3.1590                  0.3113             296.9           2382.0583     4050.8208    -1668.7625
         3.2239                  0.3182             310.7           2728.3214     4186.1664    -1457.8450
         3.2500                  0.3210             323.3           2826.6246     4310.6544    -1484.0298
         3.3150                  0.3279             302.1           2501.3689     4102.4880    -1601.1191
         3.3801                  0.3348             299.6           2690.5850     4077.4032    -1386.8182
         3.4452                  0.3418             313.7           2597.0070     4216.3056    -1619.2986
         3.5103                  0.3487             304.4           2723.5008     4124.2032    -1400.7024
         3.5754                  0.3556             302.4           2504.3471     4105.2960    -1600.9489
         3.6403                  0.3625             304.7           2471.2147     4127.5728    -1656.3581
         3.7051                  0.3694             319.9           2871.2398     4276.3968    -1405.1570
         3.7701                  0.3764             315.9           2859.4468     4237.6464    -1378.1996
         3.8351                  0.3833             312.7           2558.2943     4206.0096    -1647.7153
         3.9000                  0.3902             300.0           2480.0027     4081.1472    -1601.1445
         3.9652                  0.3971             310.3           2372.9844     4182.4224    -1809.4380
         4.0303                  0.4040             321.2           2576.1024     4289.3136    -1713.2112
         4.0954                  0.4110             318.5           2473.8567     4263.4800    -1789.6233
         4.1606                  0.4179             324.7           2317.6918     4323.7584    -2006.0666
         4.2257                  0.4248             283.9           2112.4417     3923.7120    -1811.2703
         4.2500                  0.4274             305.8           2353.1155     4138.8048    -1785.6893
         4.3152                  0.4343             314.5           2243.6651     4223.7936    -1980.1285
         4.3803                  0.4412             294.7           1822.4185     4029.6672    -2207.2487
         4.4454                  0.4481             309.3           2099.1465     4172.6880    -2073.5415
         4.5105                  0.4551             310.6           2028.3062     4185.2304    -2156.9242
         4.5756                  0.4620             306.2           2216.2100     4142.1744    -1925.9644
         4.6408                  0.4689             304.9           1821.3866     4129.6320    -2308.2454
         4.7058                  0.4758             296.5           1693.5663     4046.7024    -2353.1361
         4.7708                  0.4827             312.8           1650.0186     4206.7584    -2556.7398
         4.8359                  0.4897             300.1           1593.9611     4082.8320    -2488.8709
         4.9011                  0.4966             301.3           1898.6937     4094.2512    -2195.5575
