     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          25704.0000    25704.0000        0.0000
         0.1000                  0.0034            1057.8          26313.6934    26362.8792      -49.1858
         0.2000                  0.0070             895.6          22661.8341    22719.3372      -57.5031
         0.3000                  0.0108             828.6          21115.3859    21214.3680      -98.9821
         0.4000                  0.0149             675.0          17703.0859    17763.1776      -60.0917
         0.5000                  0.0193             579.1          15517.9891    15609.6108      -91.6217
         0.6433                  0.0258             521.3          14160.8868    14310.7020     -149.8152
         0.6500                  0.0261             513.3          14002.6510    14132.4876     -129.8366
         0.7897                  0.0327             474.7          13068.8726    13264.5492     -195.6766
         0.8000                  0.0332             483.1          13300.0729    13453.4736     -153.4007
         0.9357                  0.0398             423.9          11903.8359    12123.7200     -219.8841
         1.0000                  0.0430             435.6          12019.0863    12385.9008     -366.8145
         1.1317                  0.0497             387.4          11063.9414    11302.9056     -238.9642
         1.2500                  0.0558             390.2          10921.3406    11367.1656     -445.8250
         1.3769                  0.0627             324.4           8777.6210     9887.9004    -1110.2794
         1.5034                  0.0696             339.1           8841.3120    10217.7684    -1376.4564
         1.6301                  0.0764             334.5           9041.5731    10114.5240    -1072.9509
         1.7564                  0.0833             325.3           8629.2377     9908.8920    -1279.6543
         1.8831                  0.0902             337.5           8801.0695    10182.6396    -1381.5701
         2.0098                  0.0970             325.1           9003.8182     9904.1796     -900.3614
         2.1364                  0.1039             324.5           8842.2255     9890.8992    -1048.6737
         2.2500                  0.1101             342.4           9360.1903    10293.1668     -932.9765
         2.3765                  0.1169             324.1           8905.0762     9881.4744     -976.3982
         2.5031                  0.1238             328.5           8962.8946     9980.8632    -1017.9686
         2.6300                  0.1307             340.4           9351.0200    10247.3280     -896.3080
         2.7564                  0.1376             337.2           8800.3753    10176.6420    -1376.2667
         2.8833                  0.1444             330.9           8768.4698    10033.5564    -1265.0866
         3.0100                  0.1513             332.9           8878.2435    10079.8236    -1201.5801
         3.1368                  0.1582             329.0           8927.1471     9991.5732    -1064.4261
         3.2500                  0.1643             319.5           8562.0892     9778.6584    -1216.5692
         3.3767                  0.1712             336.6           9334.0147    10162.9332     -828.9185
         3.5033                  0.1781             340.8           9024.1742    10255.8960    -1231.7218
         3.6300                  0.1849             332.4           8711.0244    10067.4000    -1356.3756
         3.7566                  0.1918             343.9           9209.6397    10327.4388    -1117.7991
         3.8831                  0.1987             324.3           8641.0879     9885.7584    -1244.6705
         4.0098                  0.2056             333.0           8689.8105    10082.3940    -1392.5835
         4.1367                  0.2124             337.9           8787.9520    10191.2076    -1403.2556
         4.2500                  0.2186             339.3           9389.1421    10222.9092     -833.7671
         4.3766                  0.2254             338.7           9328.4051    10209.6288     -881.2237
         4.5033                  0.2323             331.1           9034.9250    10039.1256    -1004.2006
         4.6302                  0.2392             327.8           8977.5402     9964.5840     -987.0438
         4.7569                  0.2461             339.8           9344.6540    10235.3328     -890.6788
         4.8834                  0.2529             323.0           8629.3359     9856.1988    -1226.8629
         5.0100                  0.2598             327.8           8706.9378     9965.4408    -1258.5030
         5.1367                  0.2667             341.3           9258.8551    10268.3196    -1009.4645
         5.2500                  0.2728             328.2           9113.8453     9973.5804     -859.7351
         5.3768                  0.2797             323.6           9111.4398     9870.7644     -759.3246
         5.5033                  0.2866             331.8           8843.1911    10055.4048    -1212.2137
         5.6300                  0.2934             328.9           9049.9487     9989.4312     -939.4825
         5.7565                  0.3003             332.3           9017.2930    10065.6864    -1048.3934
         5.8832                  0.3072             341.3           9088.6028    10267.4628    -1178.8600
         6.0099                  0.3140             329.1           8856.2247     9994.5720    -1138.3473
         6.1365                  0.3209             338.5           9090.4892    10205.3448    -1114.8556
         6.2500                  0.3271             326.1           8584.8547     9926.4564    -1341.6017
         6.3763                  0.3339             323.2           8794.5693     9860.9112    -1066.3419
         6.5026                  0.3408             331.9           9072.5281    10057.9752     -985.4471
         6.6290                  0.3477             329.6           8888.6578    10005.2820    -1116.6242
         6.7559                  0.3545             314.8           8625.1599     9673.2720    -1048.1121
         6.8824                  0.3614             327.3           8837.6316     9953.8740    -1116.2424
         7.0089                  0.3683             331.6           8871.3317    10050.2640    -1178.9323
         7.1355                  0.3752             337.6           8928.1152    10185.2100    -1257.0948
         7.2500                  0.3814             321.3           8379.2572     9819.3564    -1440.0992
         7.3765                  0.3882             331.4           8781.2142    10045.5516    -1264.3374
         7.5033                  0.3951             325.3           8857.3935     9908.8920    -1051.4985
         7.6300                  0.4020             344.7           9064.3186    10343.7180    -1279.3994
         7.7566                  0.4088             322.7           8787.4865     9850.2012    -1062.7147
         7.8831                  0.4157             330.6           9276.3893    10026.7020     -750.3127
         8.0097                  0.4226             315.4           8868.0582     9685.2672     -817.2090
         8.1362                  0.4295             343.4           9449.2757    10315.0152     -865.7395
         8.2500                  0.4356             334.9           9150.6094    10124.8056     -974.1962
         8.3767                  0.4425             331.9           8736.5308    10057.1184    -1320.5876
         8.5035                  0.4494             331.1           8503.0335    10038.2688    -1535.2353
         8.6303                  0.4563             326.9           8848.5542     9944.4492    -1095.8950
         8.7571                  0.4631             319.0           8439.2453     9767.9484    -1328.7031
         8.8839                  0.4700             342.8           9286.6826    10301.7348    -1015.0522
