     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          25705.0680    25704.0000        1.0680
         0.1000                  0.0034            1035.5          25833.6496    25863.3648      -29.7152
         0.2000                  0.0069             925.2          23331.0455    23385.4992      -54.4537
         0.3000                  0.0107             802.2          20572.5529    20620.6056      -48.0527
         0.4000                  0.0148             695.8          18139.9688    18231.8472      -91.8784
         0.5000                  0.0191             568.7          15288.2118    15375.7044      -87.4926
         0.6445                  0.0257             511.8          14023.9521    14098.6440      -74.6919
         0.6500                  0.0259             510.0          13878.2990    14057.0892     -178.7902
         0.7908                  0.0325             475.0          13108.8580    13272.2604     -163.4024
         0.8000                  0.0329             473.7          13110.8215    13241.4156     -130.5941
         0.9366                  0.0396             420.5          11850.3470    12047.0364     -196.6894
         1.0000                  0.0427             442.4          12235.4002    12539.6964     -304.2962
         1.1328                  0.0494             379.6          10771.2181    11127.6900     -356.4719
         1.2500                  0.0554             385.8          10896.3789    11268.2052     -371.8263
         1.3777                  0.0623             340.9           9255.5687    10258.4664    -1002.8977
         1.5053                  0.0692             326.9           8578.7120     9944.4492    -1365.7372
         1.6327                  0.0760             319.5           8829.6367     9777.8016     -948.1649
         1.7599                  0.0829             327.8           9015.5461     9965.0124     -949.4663
         1.8874                  0.0898             341.8           9242.0709    10278.6012    -1036.5303
         2.0148                  0.0966             339.7           9173.9484    10233.1908    -1059.2424
         2.1424                  0.1035             322.3           8908.4557     9840.3480     -931.8923
         2.2500                  0.1093             333.1           8929.6255    10083.2508    -1153.6253
         2.3774                  0.1162             333.5           8915.1904    10091.8188    -1176.6284
         2.5051                  0.1231             336.0           8873.1534    10149.6528    -1276.4994
         2.6326                  0.1299             330.5           8520.9163    10026.2736    -1505.3573
         2.7601                  0.1368             333.9           8750.8005    10102.1004    -1351.2999
         2.8875                  0.1437             324.3           9126.1367     9886.6152     -760.4785
         3.0149                  0.1506             321.9           9156.8319     9832.2084     -675.3765
         3.1423                  0.1574             335.5           9212.4538    10136.8008     -924.3470
         3.2500                  0.1632             326.2           9014.9388     9928.1700     -913.2312
         3.3774                  0.1701             330.7           8767.0037    10030.9860    -1263.9823
         3.5050                  0.1770             325.6           8932.5319     9916.1748     -983.6429
         3.6327                  0.1838             342.7           9376.2432    10299.1644     -922.9212
         3.7602                  0.1907             344.5           9466.1872    10339.8624     -873.6752
         3.8876                  0.1976             330.7           9046.5016    10030.1292     -983.6276
         4.0154                  0.2045             333.0           8800.5262    10081.5372    -1281.0110
         4.1428                  0.2113             329.3           8868.9153     9999.2844    -1130.3691
         4.2500                  0.2171             327.4           8977.6480     9955.1592     -977.5112
         4.3775                  0.2240             324.8           8543.0238     9898.1820    -1355.1582
         4.5051                  0.2309             322.8           8716.9930     9853.2000    -1136.2070
         4.6326                  0.2377             328.8           8774.0711     9988.1460    -1214.0749
         4.7600                  0.2446             329.7           8687.4168    10007.4240    -1320.0072
         4.8876                  0.2515             312.7           8519.6134     9624.8628    -1105.2494
         5.0149                  0.2583             324.8           8683.1947     9898.1820    -1214.9873
         5.1423                  0.2652             328.8           8779.6453     9987.2892    -1207.6439
         5.2500                  0.2710             327.8           8821.0947     9965.8692    -1144.7745
         5.3773                  0.2779             338.8           9180.9701    10212.1992    -1031.2291
         5.5048                  0.2848             329.7           9208.4620    10007.4240     -798.9620
         5.6325                  0.2916             323.8           9063.9695     9874.1916     -810.2221
         5.7601                  0.2985             324.4           8959.1980     9888.3288     -929.1308
         5.8875                  0.3054             335.3           9173.3433    10133.8020     -960.4587
         6.0151                  0.3122             331.0           9071.7631    10036.1268     -964.3637
         6.1427                  0.3191             329.9           9209.0913    10012.1364     -803.0451
         6.2500                  0.3249             343.0           9176.5703    10305.1620    -1128.5917
         6.3775                  0.3318             327.8           9136.7121     9965.4408     -828.7287
         6.5048                  0.3387             340.6           9406.6323    10251.6120     -844.9797
         6.6319                  0.3455             341.9           9414.9522    10280.7432     -865.7910
         6.7592                  0.3524             336.0           9206.3230    10147.9392     -941.6162
         6.8868                  0.3593             326.7           9068.1723     9940.5936     -872.4213
         7.0143                  0.3661             338.0           9311.2392    10194.6348     -883.3956
         7.1421                  0.3730             329.4           8812.8557     9999.7128    -1186.8571
         7.2500                  0.3788             328.8           9015.7940     9986.4324     -970.6384
         7.3774                  0.3857             320.7           8939.1634     9805.2192     -866.0558
         7.5050                  0.3926             330.6           9241.9354    10028.4156     -786.4802
         7.6326                  0.3994             327.1           9120.3503     9950.0184     -829.6681
         7.7602                  0.4063             331.8           8986.5363    10054.5480    -1068.0117
         7.8878                  0.4132             340.7           9147.1013    10254.1824    -1107.0811
         8.0152                  0.4201             325.0           8875.9146     9902.8944    -1026.9798
         8.1428                  0.4269             332.7           8969.5420    10075.9680    -1106.4260
         8.2500                  0.4327             319.3           8639.7363     9774.8028    -1135.0665
         8.3776                  0.4396             334.1           9038.7908    10105.5276    -1066.7368
         8.5051                  0.4465             333.5           8964.4213    10093.1040    -1128.6827
         8.6329                  0.4533             333.2           9137.4280    10085.8212     -948.3932
         8.7604                  0.4602             327.0           8993.7716     9947.4480     -953.6764
         8.8878                  0.4671             324.5           8877.6236     9890.4708    -1012.8472
         9.0156                  0.4739             332.3           9305.9764    10065.2580     -759.2816
         9.1428                  0.4808             323.3           8840.6373     9863.9100    -1023.2727
         9.2500                  0.4866             335.3           9278.5138    10133.3736     -854.8598
         9.3775                  0.4935             332.5           9151.3173    10069.5420     -918.2247
         9.5049                  0.5003             316.7           8900.0249     9714.3984     -814.3735
         9.6326                  0.5072             337.4           9304.1176    10179.6408     -875.5232
         9.7602                  0.5141             328.4           9058.8800     9978.7212     -919.8412
         9.8878                  0.5210             324.9           9103.1464     9900.7524     -797.6060
        10.0155                  0.5278             330.5           8803.3531    10025.8452    -1222.4921
        10.1431                  0.5347             332.6           9299.3973    10073.3976     -774.0003
        10.2500                  0.5405             340.6           9344.0842    10253.3256     -909.2414
        10.3773                  0.5473             319.4           9238.0354     9776.0880     -538.0526
        10.5049                  0.5542             323.7           8885.1680     9872.4780     -987.3100
        10.6326                  0.5611             337.5           9314.7090    10183.4964     -868.7874
        10.7601                  0.5679             336.6           9062.2219    10162.0764    -1099.8545
        10.8877                  0.5748             338.4           8987.9633    10203.2028    -1215.2395
        11.0151                  0.5817             315.5           8729.5907     9688.2660     -958.6753
        11.1426                  0.5886             327.2           9128.5779     9951.3036     -822.7257
        11.2500                  0.5943             333.8           9091.9406    10100.3868    -1008.4462
        11.3775                  0.6012             326.3           9189.2174     9930.3120     -741.0946
        11.5051                  0.6081             321.9           8987.5814     9832.6368     -845.0554
        11.6326                  0.6150             333.0           9184.6188    10081.1088     -896.4900
        11.7597                  0.6218             334.1           9411.9777    10107.2412     -695.2635
        11.8871                  0.6287             318.5           8698.5805     9756.3816    -1057.8011
        12.0145                  0.6356             345.6           9199.2932    10363.8528    -1164.5596
        12.1419                  0.6424             319.5           8906.6426     9778.2300     -871.5874
        12.2500                  0.6483             336.3           9146.6742    10154.7936    -1008.1194
        12.3776                  0.6551             333.2           9131.5406    10087.1064     -955.5658
        12.5050                  0.6620             336.7           9290.2437    10165.5036     -875.2599
        12.6325                  0.6689             332.0           8979.5204    10058.8320    -1079.3116
        12.7600                  0.6758             328.0           9206.7935     9970.1532     -763.3597
        12.8875                  0.6826             330.6           9154.8666    10028.4156     -873.5490
        13.0150                  0.6895             337.4           9362.5808    10179.6408     -817.0600
        13.1425                  0.6964             337.5           9161.4434    10183.0680    -1021.6246
        13.2500                  0.7021             322.6           8602.8612     9848.0592    -1245.1980
        13.3777                  0.7090             315.8           8713.3821     9695.1204     -981.7383
        13.5055                  0.7159             341.1           9317.9328    10264.4640     -946.5312
        13.6326                  0.7228             342.5           9346.2559    10295.7372     -949.4813
        13.7605                  0.7296             331.2           9032.1844    10040.8392    -1008.6548
        13.8883                  0.7365             329.4           9140.9747    10001.4264     -860.4517
        14.0159                  0.7434             329.6           8763.1746    10006.1388    -1242.9642
        14.1434                  0.7502             334.9           9007.2664    10124.3772    -1117.1108
        14.2500                  0.7560             333.3           9168.0733    10089.2484     -921.1751
        14.3778                  0.7629             335.1           9050.2704    10127.8044    -1077.5340
        14.5051                  0.7697             336.0           8908.5355    10149.6528    -1241.1173
        14.6326                  0.7766             326.4           9308.8557     9934.1676     -625.3119
        14.7604                  0.7835             319.7           8369.8298     9782.5140    -1412.6842
        14.8876                  0.7904             327.4           9131.8855     9956.8728     -824.9873
        15.0151                  0.7972             330.1           9282.7943    10016.8488     -734.0545
        15.1426                  0.8041             327.0           8890.0714     9947.8764    -1057.8050
        15.2500                  0.8099             336.9           9168.5677    10168.5024     -999.9347
        15.3773                  0.8168             327.6           9074.2928     9961.1568     -886.8640
        15.5046                  0.8236             325.9           8703.5785     9921.7440    -1218.1655
        15.6323                  0.8305             331.1           8816.9080    10038.6972    -1221.7892
        15.7600                  0.8374             342.1           9222.1795    10285.0272    -1062.8477
        15.8878                  0.8443             328.3           8908.3397     9977.0076    -1068.6679
        16.0153                  0.8511             343.4           9124.8512    10314.1584    -1189.3072
        16.1427                  0.8580             327.4           9188.8102     9955.1592     -766.3490
        16.2500                  0.8638             323.0           8948.1461     9857.4840     -909.3379
        16.3775                  0.8707             331.3           8726.6944    10044.2664    -1317.5720
        16.5050                  0.8775             321.8           8780.9743     9830.9232    -1049.9489
        16.6324                  0.8844             326.3           9069.0215     9930.3120     -861.2905
