     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          25704.0000    25704.0000        0.0000
         0.1000                  0.0034            1043.7          26021.4146    26047.5768      -26.1622
         0.2000                  0.0070             921.8          23289.9341    23308.3872      -18.4531
         0.3000                  0.0108             788.6          20249.3602    20315.5848      -66.2246
         0.4000                  0.0148             689.1          18024.1694    18080.1936      -56.0242
         0.5000                  0.0192             560.5          15134.0180    15192.7776      -58.7596
         0.6442                  0.0257             528.1          14400.3693    14465.3544      -64.9851
         0.6500                  0.0260             513.9          14063.9878    14144.4828      -80.4950
         0.7904                  0.0326             498.2          13609.1858    13792.3380     -183.1522
         0.8000                  0.0330             473.6          13127.8821    13240.1304     -112.2483
         0.9366                  0.0397             424.2          11852.1615    12130.5744     -278.4129
         1.0000                  0.0428             423.7          11918.5101    12118.5792     -200.0691
         1.1325                  0.0495             395.8          11160.7480    11492.6868     -331.9388
         1.2500                  0.0555             381.0          10793.4153    11159.8200     -366.4047
         1.3772                  0.0624             328.0           9306.4881     9968.4396     -661.9515
         1.5044                  0.0693             329.5           9179.6332    10002.7116     -823.0784
         1.6319                  0.0761             328.4           9031.4235     9977.4360     -946.0125
         1.7590                  0.0830             324.3           8804.7429     9885.7584    -1081.0155
         1.8864                  0.0899             329.5           9041.1883    10003.1400     -961.9517
         2.0134                  0.0968             336.8           9219.2388    10167.6456     -948.4068
         2.1406                  0.1036             341.0           9517.5909    10261.8936     -744.3027
         2.2500                  0.1095             315.2           8798.0750     9682.6968     -884.6218
         2.3773                  0.1164             324.4           8742.6081     9888.3288    -1145.7207
         2.5046                  0.1233             332.7           9152.4874    10075.9680     -923.4806
         2.6320                  0.1301             332.7           9545.3169    10074.6828     -529.3659
         2.7592                  0.1370             333.3           9018.7114    10088.8200    -1070.1086
         2.8865                  0.1439             328.7           8905.9109     9985.5756    -1079.6647
         3.0139                  0.1508             323.3           8911.5413     9863.9100     -952.3687
         3.1412                  0.1576             338.2           9222.7848    10198.0620     -975.2772
         3.2500                  0.1635             314.8           8786.4922     9672.8436     -886.3514
         3.3772                  0.1704             332.4           9343.6179    10067.4000     -723.7821
         3.5042                  0.1773             324.1           8773.6548     9882.3312    -1108.6764
         3.6313                  0.1841             325.2           8781.5433     9905.8932    -1124.3499
         3.7587                  0.1910             328.3           9179.1793     9976.1508     -796.9715
         3.8861                  0.1979             342.1           9544.0221    10285.8840     -741.8619
         4.0132                  0.2048             331.2           8916.3786    10041.2676    -1124.8890
         4.1405                  0.2116             334.2           9404.4883    10109.3832     -704.8949
         4.2500                  0.2175             329.0           9206.3359     9992.8584     -786.5225
         4.3771                  0.2244             333.5           8932.3715    10092.6756    -1160.3041
         4.5044                  0.2313             331.9           9095.6070    10056.6900     -961.0830
         4.6316                  0.2382             325.6           8917.0610     9914.4612     -997.4002
         4.7588                  0.2450             340.7           8996.7377    10255.0392    -1258.3015
         4.8859                  0.2519             325.2           9019.5138     9905.4648     -885.9510
         5.0131                  0.2588             328.1           9114.2682     9971.4384     -857.1702
         5.1402                  0.2656             330.5           9054.3931    10026.2736     -971.8805
         5.2500                  0.2716             331.4           9054.6848    10045.9800     -991.2952
         5.3770                  0.2785             315.0           8536.2087     9676.6992    -1140.4905
         5.5042                  0.2853             343.4           9342.5906    10314.5868     -971.9962
         5.6313                  0.2922             340.1           9335.3359    10240.0452     -904.7093
         5.7585                  0.2991             328.1           8866.3099     9971.0100    -1104.7001
         5.8857                  0.3059             322.3           8877.5521     9841.2048     -963.6527
         6.0128                  0.3128             322.8           9014.6810     9852.3432     -837.6622
         6.1398                  0.3197             339.3           9080.4779    10224.1944    -1143.7165
         6.2500                  0.3256             323.9           8910.2214     9876.7620     -966.5406
         6.3772                  0.3325             321.2           8669.1014     9817.6428    -1148.5414
         6.5042                  0.3394             327.0           8757.3746     9947.0196    -1189.6450
         6.6314                  0.3462             333.7           9233.3724    10097.8164     -864.4440
         6.7584                  0.3531             336.3           9192.1274    10156.5072     -964.3798
         6.8858                  0.3600             335.0           9246.7945    10125.6624     -878.8679
         7.0130                  0.3668             334.2           8998.7694    10107.6696    -1108.9002
         7.1403                  0.3737             330.1           8988.1733    10015.9920    -1027.8187
         7.2500                  0.3796             341.0           9231.8176    10261.0368    -1029.2192
         7.3773                  0.3865             339.6           9492.4954    10228.9068     -736.4114
         7.5043                  0.3934             341.4           9298.2830    10269.1764     -970.8934
         7.6317                  0.4003             335.4           9050.1746    10135.9440    -1085.7694
         7.7592                  0.4071             319.4           8847.7541     9776.5164     -928.7623
         7.8865                  0.4140             333.3           9215.9796    10087.9632     -871.9836
         8.0134                  0.4209             326.5           8659.2956     9935.4528    -1276.1572
         8.1407                  0.4277             327.6           9180.1226     9960.3000     -780.1774
         8.2500                  0.4336             323.3           8807.3758     9864.7668    -1057.3910
         8.3772                  0.4405             330.8           9222.5288    10032.6996     -810.1708
         8.5044                  0.4474             328.9           9164.2523     9989.8596     -825.6073
         8.6317                  0.4543             323.3           9046.2146     9864.7668     -818.5522
         8.7588                  0.4611             338.6           9234.3924    10207.9152     -973.5228
         8.8862                  0.4680             336.1           8994.7536    10151.3664    -1156.6128
