     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          25705.0560    25704.0000        1.0560
         0.1000                  0.0034            1025.3          25591.5624    25632.8856      -41.3232
         0.2000                  0.0070             936.1          23548.4432    23629.2588      -80.8156
         0.3000                  0.0108             822.7          21021.5802    21081.1356      -59.5554
         0.4000                  0.0149             693.0          18113.5318    18168.0156      -54.4838
         0.5000                  0.0193             581.3          15592.1473    15660.1620      -68.0147
         0.6436                  0.0258             534.6          14461.2151    14610.1536     -148.9385
         0.6500                  0.0261             529.7          14355.1432    14500.9116     -145.7684
         0.7898                  0.0327             472.1          13053.1313    13206.2868     -153.1555
         0.8000                  0.0331             485.2          13256.9139    13500.1692     -243.2553
         0.9360                  0.0398             430.0          12099.3312    12260.8080     -161.4768
         1.0000                  0.0430             423.4          11829.0337    12112.1532     -283.1195
         1.1318                  0.0497             399.7          11359.2382    11579.2236     -219.9854
         1.2500                  0.0557             392.0          11268.0108    11407.0068     -138.9960
         1.3769                  0.0626             335.2           9384.9317    10131.6600     -746.7283
         1.5040                  0.0695             335.7           9243.6691    10141.9416     -898.2725
         1.6305                  0.0764             337.2           9254.6973    10175.7852     -921.0879
         1.7573                  0.0832             339.8           9350.5064    10233.6192     -883.1128
         1.8842                  0.0901             325.0           9160.4674     9902.0376     -741.5702
         2.0110                  0.0970             321.6           8862.2075     9824.4972     -962.2897
         2.1377                  0.1038             331.3           9096.8686    10042.9812     -946.1126
         2.2500                  0.1099             334.8           8989.6177    10121.3784    -1131.7607
         2.3771                  0.1168             329.3           9320.5306     9997.9992     -677.4686
         2.5038                  0.1237             329.1           9054.6350     9994.5720     -939.9370
         2.6305                  0.1306             338.2           9122.7765    10198.4904    -1075.7139
         2.7576                  0.1374             331.8           9079.7155    10054.5480     -974.8325
         2.8845                  0.1443             329.1           8469.1088     9993.2868    -1524.1780
         3.0115                  0.1512             336.1           9067.7331    10151.7948    -1084.0617
         3.1384                  0.1580             331.7           9186.6711    10051.5492     -864.8781
         3.2500                  0.1641             332.9           9271.0152    10079.8236     -808.8084
         3.3766                  0.1710             329.5           8698.8548    10002.2832    -1303.4284
         3.5033                  0.1778             324.5           8756.1603     9890.8992    -1134.7389
         3.6304                  0.1847             331.2           9073.5251    10040.4108     -966.8857
         3.7573                  0.1916             327.7           9033.8523     9963.2988     -929.4465
         3.8842                  0.1984             327.5           8716.6441     9958.1580    -1241.5139
         4.0109                  0.2053             331.6           8966.1730    10050.2640    -1084.0910
         4.1377                  0.2122             324.3           8859.0300     9885.7584    -1026.7284
         4.2500                  0.2183             331.8           8606.1461    10054.5480    -1448.4019
         4.3766                  0.2252             332.9           9239.3546    10080.2520     -840.8974
         4.5035                  0.2320             312.5           8361.1619     9621.4356    -1260.2737
         4.6306                  0.2389             319.1           8556.4943     9769.6620    -1213.1677
         4.7574                  0.2458             333.3           9061.1604    10087.5348    -1026.3744
         4.8840                  0.2527             334.8           8851.1511    10121.3784    -1270.2273
         5.0110                  0.2595             326.2           8834.2845     9929.8836    -1095.5991
         5.1376                  0.2664             337.3           9234.1308    10177.0704     -942.9396
         5.2500                  0.2725             330.4           8971.0529    10022.8464    -1051.7935
         5.3769                  0.2794             325.1           8806.1487     9903.7512    -1097.6025
         5.5037                  0.2862             341.4           9033.5673    10270.8900    -1237.3227
         5.6306                  0.2931             330.5           8569.6135    10024.9884    -1455.3749
         5.7578                  0.3000             325.1           8404.5939     9904.6080    -1500.0141
         5.8847                  0.3068             326.4           8418.9706     9932.4540    -1513.4834
         6.0120                  0.3137             336.7           8622.5417    10164.6468    -1542.1051
         6.1388                  0.3206             325.7           8561.2415     9916.6032    -1355.3617
         6.2500                  0.3266             331.9           8909.6810    10056.6900    -1147.0090
         6.3769                  0.3335             330.5           8657.2381    10025.4168    -1368.1787
         6.5039                  0.3403             328.0           8313.7678     9969.7248    -1655.9570
         6.6303                  0.3472             326.4           8508.5121     9932.8824    -1424.3703
         6.7573                  0.3541             323.6           8440.9710     9869.4792    -1428.5082
         6.8841                  0.3610             333.3           8515.7919    10088.8200    -1573.0281
         7.0106                  0.3678             325.4           8875.8490     9910.6056    -1034.7566
         7.1372                  0.3747             328.0           8828.0106     9969.7248    -1141.7142
         7.2500                  0.3808             331.4           8668.7998    10045.9800    -1377.1802
         7.3768                  0.3877             326.5           8912.0843     9935.8812    -1023.7969
         7.5037                  0.3946             354.7           9661.4719    10568.1996     -906.7277
         7.6306                  0.4014             340.5           9206.8091    10250.7552    -1043.9461
         7.7574                  0.4083             321.4           8867.2739     9821.4984     -954.2245
         7.8842                  0.4152             341.2           9407.4072    10265.7492     -858.3420
         8.0107                  0.4220             332.8           8971.7141    10076.8248    -1105.1107
         8.1374                  0.4289             339.5           9282.9372    10226.7648     -943.8276
         8.2500                  0.4350             326.5           8651.4568     9935.4528    -1283.9960
         8.3763                  0.4419             317.9           8570.2779     9741.8160    -1171.5381
         8.5033                  0.4488             329.3           8776.4124     9999.2844    -1222.8720
         8.6298                  0.4556             334.4           8883.8949    10114.0956    -1230.2007
         8.7565                  0.4625             332.3           9329.5093    10066.9716     -737.4623
         8.8832                  0.4694             332.8           9153.3526    10077.6816     -924.3290
         9.0097                  0.4762             331.3           9024.3361    10044.2664    -1019.9303
         9.1364                  0.4831             323.3           8676.1386     9863.4816    -1187.3430
         9.2500                  0.4893             327.1           8692.3220     9950.0184    -1257.6964
         9.3770                  0.4961             343.7           9382.5569    10321.4412     -938.8843
         9.5034                  0.5030             331.1           8962.8923    10039.5540    -1076.6617
         9.6298                  0.5099             328.6           8935.1002     9983.8620    -1048.7618
         9.7570                  0.5168             321.8           8205.5214     9830.9232    -1625.4018
         9.8838                  0.5236             330.5           8682.1545    10024.9884    -1342.8339
        10.0108                  0.5305             330.7           8949.5343    10030.9860    -1081.4517
        10.1378                  0.5374             318.6           8942.6502     9757.6668     -815.0166
        10.2500                  0.5435             320.7           8775.2282     9805.6476    -1030.4194
        10.3771                  0.5503             345.3           8844.7007    10356.9984    -1512.2977
        10.5041                  0.5572             325.6           8799.9988     9914.4612    -1114.4624
        10.6310                  0.5641             332.6           9073.5906    10072.9692     -999.3786
        10.7578                  0.5709             323.9           8987.3692     9878.0472     -890.6780
        10.8849                  0.5778             319.4           8812.3539     9776.0880     -963.7341
        11.0117                  0.5847             336.5           9168.1737    10159.9344     -991.7607
        11.1383                  0.5916             330.1           8873.0885    10017.2772    -1144.1887
        11.2500                  0.5976             327.8           9129.9838     9965.4408     -835.4570
        11.3766                  0.6045             332.1           9145.2137    10062.2592     -917.0455
        11.5034                  0.6114             329.3           8997.9107     9998.4276    -1000.5169
        11.6304                  0.6182             338.5           8925.2578    10204.9164    -1279.6586
        11.7572                  0.6251             344.7           9399.1698    10343.7180     -944.5482
        11.8841                  0.6320             334.9           9098.0061    10125.2340    -1027.2279
        12.0109                  0.6389             338.1           9072.6552    10196.7768    -1124.1216
        12.1380                  0.6457             330.5           8905.7550    10025.8452    -1120.0902
        12.2500                  0.6518             329.2           8865.4610     9996.2856    -1130.8246
        12.3768                  0.6587             334.3           8834.8266    10110.2400    -1275.4134
        12.5037                  0.6655             317.3           8515.6850     9728.9640    -1213.2790
        12.6303                  0.6724             328.9           8586.8394     9989.0028    -1402.1634
