     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          18141.0840    18144.0000       -2.9160
         0.1000                  0.0048            1000.1          17660.4787    17695.2384      -34.7597
         0.2000                  0.0099             928.4          16536.4348    16557.0048      -20.5700
         0.3000                  0.0153             791.7          14344.1033    14390.6112      -46.5079
         0.4000                  0.0211             654.8          12171.0468    12218.4720      -47.4252
         0.5000                  0.0273             573.0          10773.5356    10921.7808     -148.2452
         0.6014                  0.0338             510.8           9826.9726     9936.2592     -109.2866
         0.6500                  0.0369             515.2           9910.1996    10006.1136      -95.9140
         0.7487                  0.0435             467.3           9127.3352     9245.5776     -118.2424
         0.8000                  0.0469             481.0           9286.6494     9463.3056     -176.6562
         0.8959                  0.0536             433.5           8500.1799     8710.0272     -209.8473
         0.9917                  0.0603             415.7           8294.2600     8427.8880     -133.6280
         1.0000                  0.0609             437.3           8513.3186     8770.2048     -256.8862
         1.0932                  0.0676             372.5           7429.7689     7742.0448     -312.2759
         1.1863                  0.0744             378.9           7511.0837     7844.5584     -333.4747
         1.2500                  0.0790             389.7           7691.7298     8016.0192     -324.2894
         1.3398                  0.0859             315.2           6085.0694     6833.6352     -748.5658
         1.4295                  0.0927             329.6           6284.2523     7062.2496     -777.9973
         1.5191                  0.0996             328.6           6114.7382     7046.8272     -932.0890
         1.6087                  0.1065             323.7           5836.1479     6968.8080    -1132.6601
         1.6983                  0.1133             325.5           6210.5365     6998.1408     -787.6043
         1.7879                  0.1202             338.2           6262.3050     7199.2368     -936.9318
         1.8774                  0.1271             308.1           6176.5898     6722.0496     -545.4598
         1.9668                  0.1340             337.3           6115.2873     7184.1168    -1068.8295
         2.0564                  0.1408             319.2           6053.2380     6896.8368     -843.5988
         2.1459                  0.1477             307.4           5832.5902     6709.9536     -877.3634
         2.2356                  0.1546             318.3           6051.6154     6883.5312     -831.9158
         2.2500                  0.1557             320.9           6092.3956     6924.9600     -832.5644
         2.3393                  0.1626             322.0           6503.0842     6942.4992     -439.4150
         2.4288                  0.1694             329.0           6319.6063     7052.8752     -733.2689
         2.5182                  0.1763             325.1           6068.7872     6991.4880     -922.7008
         2.6078                  0.1832             323.1           5887.2533     6959.1312    -1071.8779
