     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          18144.0000    18144.0000        0.0000
         0.1000                  0.0049            1033.9          18186.9051    18230.4864      -43.5813
         0.2000                  0.0100             937.8          16647.7297    16706.3904      -58.6607
         0.3000                  0.0154             810.2          14632.4197    14683.6368      -51.2171
         0.4000                  0.0213             668.1          12327.1442    12430.7568     -103.6126
         0.5000                  0.0276             602.6          11265.4061    11391.4080     -126.0019
         0.6005                  0.0341             512.8           9793.7520     9967.7088     -173.9568
         0.6500                  0.0373             510.8           9824.2927     9936.5616     -112.2689
         0.7477                  0.0439             483.2           9390.5906     9498.3840     -107.7934
         0.8000                  0.0474             468.9           9156.2100     9271.8864     -115.6764
         0.8946                  0.0541             409.8           8130.5437     8333.8416     -203.2979
         0.9896                  0.0607             414.2           8219.0022     8404.3008     -185.2986
         1.0000                  0.0615             447.7           8738.9130     8935.3152     -196.4022
         1.0922                  0.0682             387.0           7577.6143     7972.1712     -394.5569
         1.1844                  0.0750             397.2           7909.3667     8134.5600     -225.1933
         1.2500                  0.0798             383.5           7547.9588     7916.8320     -368.8732
         1.3384                  0.0867             329.0           6328.2725     7053.7824     -725.5099
         1.4270                  0.0935             331.3           6341.3689     7090.0704     -748.7015
         1.5156                  0.1004             329.1           6101.1161     7054.3872     -953.2711
         1.6044                  0.1073             323.0           6174.0813     6958.5264     -784.4451
         1.6928                  0.1141             311.4           5842.6164     6774.0624     -931.4460
         1.7814                  0.1210             325.9           6116.2099     7004.4912     -888.2813
         1.8702                  0.1279             337.5           6274.2876     7188.0480     -913.7604
         1.9591                  0.1348             325.4           5883.5841     6995.1168    -1111.5327
         2.0478                  0.1416             324.8           5837.0687     6986.0448    -1148.9761
         2.1366                  0.1485             334.9           5928.7485     7146.9216    -1218.1731
         2.2256                  0.1554             326.5           5605.1224     7012.9584    -1407.8360
         2.2500                  0.1573             332.5           5809.8109     7108.8192    -1299.0083
         2.3387                  0.1641             335.7           5975.1299     7158.7152    -1183.5853
         2.4276                  0.1710             336.8           6174.4028     7176.8592    -1002.4564
         2.5163                  0.1779             330.3           5832.8854     7072.8336    -1239.9482
         2.6049                  0.1848             325.0           5691.8365     6989.0688    -1297.2323
         2.6935                  0.1916             328.5           5914.8553     7045.6176    -1130.7623
         2.7823                  0.1985             333.1           5960.7417     7118.1936    -1157.4519
         2.8712                  0.2054             323.5           5861.5074     6965.7840    -1104.2766
         2.9597                  0.2122             338.1           6268.5829     7196.8176     -928.2347
         3.0485                  0.2191             322.9           5875.8575     6956.4096    -1080.5521
         3.1372                  0.2260             319.8           6175.4559     6906.5136     -731.0577
         3.2259                  0.2329             336.0           6137.4655     7164.7632    -1027.2977
         3.2500                  0.2347             326.2           5861.0034     7009.3296    -1148.3262
         3.3387                  0.2416             331.1           6064.2766     7086.7440    -1022.4674
         3.4275                  0.2485             335.1           5992.5039     7150.2480    -1157.7441
         3.5164                  0.2553             330.3           5665.5451     7073.1360    -1407.5909
         3.6051                  0.2622             327.4           5956.5190     7028.3808    -1071.8618
         3.6938                  0.2691             318.6           5917.4052     6888.6720     -971.2668
         3.7825                  0.2760             322.7           6047.9382     6953.6880     -905.7498
         3.8711                  0.2828             325.4           6112.7888     6996.3264     -883.5376
         3.9597                  0.2897             325.0           5654.8154     6989.6736    -1334.8582
         4.0483                  0.2966             337.5           6278.9043     7187.4432     -908.5389
         4.1371                  0.3035             343.4           6233.3290     7280.8848    -1047.5558
         4.2260                  0.3103             330.8           5933.3677     7082.2080    -1148.8403
         4.2500                  0.3122             345.6           6191.0807     7315.9632    -1124.8825
         4.3388                  0.3191             321.6           5547.3516     6936.1488    -1388.7972
         4.4277                  0.3259             329.5           5499.6341     7061.3424    -1561.7083
         4.5164                  0.3328             331.9           6046.4562     7099.7472    -1053.2910
         4.6052                  0.3397             325.2           5869.4869     6992.6976    -1123.2107
         4.6937                  0.3465             338.0           5608.7607     7195.6080    -1586.8473
         4.7826                  0.3534             337.7           5986.9357     7191.6768    -1204.7411
         4.8717                  0.3603             340.3           5865.6132     7232.5008    -1366.8876
         4.9606                  0.3672             326.0           5390.6292     7004.7936    -1614.1644
         5.0496                  0.3740             324.7           5434.7298     6984.5328    -1549.8030
         5.1383                  0.3809             338.5           5826.5164     7204.3776    -1377.8612
         5.2271                  0.3878             336.3           5816.7679     7168.6944    -1351.9265
         5.2500                  0.3895             333.0           5609.4614     7116.3792    -1506.9178
         5.3391                  0.3964             334.4           5800.6861     7139.0592    -1338.3731
         5.4280                  0.4033             346.1           5658.4536     7323.5232    -1665.0696
         5.5167                  0.4102             314.7           5260.0956     6826.3776    -1566.2820
         5.6055                  0.4170             329.6           5374.6811     7061.9472    -1687.2661
         5.6943                  0.4239             335.4           5469.1387     7154.7840    -1685.6453
         5.7832                  0.4308             336.3           5898.3587     7169.2992    -1270.9405
         5.8720                  0.4376             327.3           5580.6110     7025.6592    -1445.0482
         5.9609                  0.4445             323.3           5499.7442     6962.1552    -1462.4110
         6.0499                  0.4514             326.7           5373.1710     7016.8896    -1643.7186
         6.1389                  0.4583             322.6           5555.4532     6951.8736    -1396.4204
         6.2279                  0.4651             328.0           5239.8017     7037.7552    -1797.9535
         6.2500                  0.4668             319.8           4948.0699     6906.8160    -1958.7461
         6.3389                  0.4737             329.6           5582.4943     7062.8544    -1480.3601
         6.4278                  0.4806             346.1           5843.2308     7323.8256    -1480.5948
         6.5169                  0.4875             328.8           5633.2635     7049.2464    -1415.9829
         6.6054                  0.4943             335.8           5909.1032     7160.2272    -1251.1240
         6.6944                  0.5012             322.2           5627.2741     6945.8256    -1318.5515
         6.7830                  0.5081             328.6           5881.8368     7046.8272    -1164.9904
         6.8716                  0.5149             324.3           5761.3162     6978.7872    -1217.4710
         6.9603                  0.5218             318.0           5480.0906     6879.2976    -1399.2070
         7.0490                  0.5287             340.8           5972.6387     7240.3632    -1267.7245
         7.1379                  0.5356             323.2           5392.5366     6961.2480    -1568.7114
         7.2268                  0.5424             325.3           6081.6597     6994.8144     -913.1547
         7.2500                  0.5442             325.0           5863.0176     6989.3712    -1126.3536
         7.3388                  0.5511             329.9           5818.7620     7067.6928    -1248.9308
         7.4275                  0.5580             333.9           5851.5210     7130.8944    -1279.3734
         7.5162                  0.5648             336.2           5979.0012     7167.4848    -1188.4836
         7.6050                  0.5717             322.5           5808.8908     6950.0592    -1141.1684
         7.6937                  0.5786             336.7           5735.1609     7174.7424    -1439.5815
         7.7826                  0.5855             335.1           5779.8105     7149.6432    -1369.8327
         7.8713                  0.5923             345.2           5985.9459     7310.2176    -1324.2717
         7.9602                  0.5992             324.5           5159.6739     6980.9040    -1821.2301
         8.0489                  0.6061             328.2           5344.5727     7040.4768    -1695.9041
         8.1379                  0.6129             339.3           5221.9340     7216.7760    -1994.8420
         8.2265                  0.6198             327.6           5121.6599     7031.1024    -1909.4425
         8.2500                  0.6216             341.3           5477.9143     7248.2256    -1770.3113
         8.3391                  0.6285             329.1           5306.5129     7054.9920    -1748.4791
         8.4279                  0.6354             333.1           5560.2131     7117.5888    -1557.3757
         8.5168                  0.6422             331.0           5167.5698     7084.0224    -1916.4526
         8.6055                  0.6491             339.4           5209.3610     7218.2880    -2008.9270
         8.6945                  0.6560             326.1           5041.7774     7006.3056    -1964.5282
         8.7834                  0.6629             321.3           4984.8802     6931.3104    -1946.4302
         8.8724                  0.6697             325.8           5322.3265     7002.0720    -1679.7455
         8.9616                  0.6766             333.3           5428.2054     7121.5200    -1693.3146
         9.0506                  0.6835             331.6           5610.9054     7094.6064    -1483.7010
         9.1395                  0.6904             324.8           5143.9281     6986.0448    -1842.1167
         9.2283                  0.6972             347.8           5701.4515     7350.4368    -1648.9853
         9.2500                  0.6989             315.8           5223.4613     6843.3120    -1619.8507
         9.3389                  0.7058             332.9           5629.6245     7115.4720    -1485.8475
         9.4278                  0.7126             336.9           5858.6742     7178.9760    -1320.3018
         9.5168                  0.7195             321.0           5104.5200     6926.1696    -1821.6496
         9.6060                  0.7264             336.8           5134.0987     7176.2544    -2042.1557
         9.6950                  0.7333             329.8           5229.0517     7065.2736    -1836.2219
         9.7839                  0.7401             329.0           5226.3831     7052.5728    -1826.1897
         9.8729                  0.7470             329.2           5191.0284     7056.5040    -1865.4756
         9.9619                  0.7539             323.7           5401.7791     6968.2032    -1566.4241
        10.0509                  0.7607             337.5           5379.0251     7188.3504    -1809.3253
        10.1399                  0.7676             328.4           5054.5580     7043.8032    -1989.2452
        10.2288                  0.7745             319.6           5338.9046     6903.1872    -1564.2826
        10.2500                  0.7761             343.7           5655.8684     7285.7232    -1629.8548
        10.3390                  0.7830             353.3           5797.1301     7438.4352    -1641.3051
        10.4280                  0.7899             328.1           5349.2226     7038.3600    -1689.1374
        10.5170                  0.7967             311.6           5154.1148     6777.3888    -1623.2740
        10.6059                  0.8036             339.2           5615.2592     7214.9616    -1599.7024
        10.6950                  0.8105             333.4           5429.9550     7122.7296    -1692.7746
        10.7842                  0.8174             315.9           4932.3574     6844.5216    -1912.1642
        10.8735                  0.8242             333.2           5116.5447     7118.7984    -2002.2537
        10.9625                  0.8311             338.3           5473.7771     7199.8416    -1726.0645
        11.0514                  0.8380             337.0           5198.6485     7179.8832    -1981.2347
        11.1406                  0.8448             320.8           4807.6722     6923.1456    -2115.4734
        11.2295                  0.8517             328.8           5387.9212     7049.5488    -1661.6276
        11.2500                  0.8533             343.2           5379.6956     7278.7680    -1899.0724
        11.3387                  0.8602             344.2           5544.5722     7294.7952    -1750.2230
        11.4277                  0.8671             321.7           4947.0160     6937.0560    -1990.0400
        11.5164                  0.8739             318.6           4729.2858     6887.7648    -2158.4790
        11.6052                  0.8808             313.7           4921.3311     6810.6528    -1889.3217
        11.6939                  0.8877             329.7           5537.9765     7063.7616    -1525.7851
        11.7828                  0.8945             329.2           5629.3868     7056.2016    -1426.8148
        11.8716                  0.9014             332.9           5748.3287     7115.4720    -1367.1433
        11.9607                  0.9083             334.0           5812.3971     7131.8016    -1319.4045
        12.0497                  0.9152             327.4           5466.5497     7027.7760    -1561.2263
        12.1386                  0.9220             329.4           5888.5946     7058.9232    -1170.3286
        12.2276                  0.9289             331.7           6068.6998     7095.8160    -1027.1162
        12.2500                  0.9306             321.5           5884.9663     6934.3344    -1049.3681
        12.3387                  0.9375             315.1           5718.6426     6832.7280    -1114.0854
        12.4274                  0.9444             330.2           5780.8332     7071.6240    -1290.7908
        12.5164                  0.9512             329.3           5400.1452     7057.7136    -1657.5684
