     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          18141.6960    18144.0000       -2.3040
         0.1000                  0.0048            1029.7          18112.5010    18163.6560      -51.1550
         0.2000                  0.0099             905.8          16176.0358    16199.5680      -23.5322
         0.3000                  0.0154             807.6          14601.9423    14642.5104      -40.5681
         0.4000                  0.0211             670.9          12429.6324    12474.0000      -44.3676
         0.5000                  0.0274             564.6          10704.2711    10788.1200      -83.8489
         0.6009                  0.0339             526.0          10088.4266    10176.3648      -87.9382
         0.6500                  0.0371             529.7          10107.9127    10234.7280     -126.8153
         0.7481                  0.0437             478.1           9292.8014     9417.6432     -124.8418
         0.8000                  0.0471             450.1           8865.5351     8974.0224     -108.4873
         0.8957                  0.0538             439.4           8583.8856     8803.7712     -219.8856
         0.9911                  0.0605             430.5           8478.9653     8661.9456     -182.9803
         1.0000                  0.0611             436.6           8584.3894     8759.3184     -174.9290
         1.0927                  0.0678             396.6           7922.1211     8125.4880     -203.3669
         1.1855                  0.0746             394.7           7893.8379     8094.9456     -201.1077
         1.2500                  0.0793             400.4           7728.0504     8184.7584     -456.7080
         1.3392                  0.0861             326.2           6364.3823     7007.8176     -643.4353
         1.4285                  0.0930             331.1           6354.8302     7085.8368     -731.0066
         1.5176                  0.0999             314.1           6134.5013     6816.3984     -681.8971
         1.6067                  0.1067             335.7           6315.2898     7159.0176     -843.7278
         1.6958                  0.1136             336.3           6593.5867     7168.0896     -574.5029
         1.7853                  0.1205             336.1           5986.0842     7165.6704    -1179.5862
         1.8747                  0.1274             345.9           6063.0695     7320.4992    -1257.4297
         1.9640                  0.1342             316.3           5501.1939     6851.1744    -1349.9805
         2.0535                  0.1411             327.5           5880.2948     7028.6832    -1148.3884
         2.1429                  0.1480             339.0           6198.7559     7211.9376    -1013.1817
         2.2322                  0.1549             325.9           6157.0901     7003.5840     -846.4939
         2.2500                  0.1562             337.6           6019.9045     7188.6528    -1168.7483
         2.3394                  0.1631             340.5           6164.0657     7235.8272    -1071.7615
         2.4287                  0.1700             340.1           6103.1825     7228.5696    -1125.3871
         2.5180                  0.1768             331.5           5848.0049     7092.7920    -1244.7871
         2.6075                  0.1837             313.7           5551.8959     6810.6528    -1258.7569
         2.6971                  0.1906             322.5           5747.5893     6949.4544    -1201.8651
         2.7864                  0.1975             324.5           5862.2796     6982.4160    -1120.1364
         2.8758                  0.2043             330.1           5682.3557     7070.1120    -1387.7563
         2.9652                  0.2112             338.1           6031.5545     7197.1200    -1165.5655
         3.0547                  0.2181             335.5           6235.8267     7156.2960     -920.4693
         3.1440                  0.2249             326.8           6066.1205     7018.4016     -952.2811
         3.2332                  0.2318             331.8           6414.6646     7097.0256     -682.3610
         3.2500                  0.2331             332.7           6374.9047     7111.5408     -736.6361
         3.3393                  0.2400             322.4           6096.6165     6947.6400     -851.0235
         3.4285                  0.2468             339.8           6496.6286     7224.3360     -727.7074
         3.5179                  0.2537             326.1           6091.2643     7006.9104     -915.6461
         3.6073                  0.2606             318.8           5474.3468     6891.9984    -1417.6516
         3.6968                  0.2675             325.4           5974.0178     6996.6288    -1022.6110
         3.7862                  0.2743             325.2           6054.8300     6993.0000     -938.1700
         3.8756                  0.2812             337.6           5647.8771     7189.2576    -1541.3805
         3.9655                  0.2881             318.9           5547.9709     6893.5104    -1345.5395
         4.0550                  0.2949             328.7           5969.6436     7048.6416    -1078.9980
         4.1443                  0.3018             334.5           6144.8078     7139.6640     -994.8562
         4.2337                  0.3087             321.9           5961.0093     6940.9872     -979.9779
         4.2500                  0.3099             339.6           6144.4607     7221.6144    -1077.1537
         4.3393                  0.3168             335.7           6438.6358     7159.6224     -720.9866
         4.4286                  0.3237             321.9           6145.1572     6940.6848     -795.5276
         4.5180                  0.3306             335.3           6054.5539     7153.2720    -1098.7181
         4.6074                  0.3374             317.2           6043.5800     6865.9920     -822.4120
         4.6967                  0.3443             324.5           5912.1770     6981.8112    -1069.6342
         4.7862                  0.3512             327.8           6009.6354     7033.5216    -1023.8862
         4.8755                  0.3581             321.5           5897.1540     6934.3344    -1037.1804
         4.9650                  0.3649             330.9           6230.1822     7082.5104     -852.3282
         5.0543                  0.3718             314.2           5715.7627     6818.2128    -1102.4501
